record_no,standardized_names,scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,native_status,native_status_reason,native_status_sources,is_introduced,native_status_country,native_status_state_province,native_status_county_parish,country,state_province,county,locality,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_cultivated_observation,is_cultivated_in_region,is_location_cultivated,is_new_world,observation_type
11,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Fazenda SÃ£o SebastiÃ£o do CarandÃ¡ - prÃ³ximo ao morro LadÃ¡rio.,-19.075389,-57.516167,06/08/2001,GBIF,FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,0,0,NA,1,specimen
12,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra Tromba dos Macacos, Planalto Residual do Urucum. Acesso pela Fazenda VovÃ´ Osvaldo. Interior de Floresta Estacional Decidual.",-19.11435,-57.39357,25/11/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
13,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra Grande, Planalto Residual do Urucum.",-19.363889,-57.862344,24/11/2004,GBIF,IPA,IPA,IPA,IPA,3347,0,0,NA,1,specimen
14,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do RabichÃ£o, Planalto Residual do Urucum. Borda de Floresta Estacional Decidual. Estrada de acesso Ã  Fazenda CarandÃ¡. Solo ferruginoso.",-19.066667,-57.483333,09/12/2004,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
15,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,NA,"Quiapaca, 10 km N of Santiago, valley of RÃ­o Tucuvaca dry forest. Transect 1.",-18.33333,-59.5,16/05/1991,MO,MO,MO,MO,NA,280,0,0,NA,1,specimen
16,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Assentamento Tamarineiro II Sul- Sr. Albino Lote 92,-19.108611,-57.7875,27/10/2009,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
17,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Fazenda SÃ£o SebastiÃ£o do CarandÃ¡ - prÃ³ximo ao morro LadÃ¡rio.,-19.075389,-57.516167,09/08/2001,GBIF,FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,0,0,NA,1,specimen
18,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Acesso pela Fazenda Dois CoraÃ§Ãµes. Interior de Floresta Estacional Decidual. Solo ferruginoso.,-19.13693,-57.50524,23/11/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
19,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Terras,-19.45,-57.75,12/05/1992,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
20,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do RabichÃ£o, Planalto Residual do Urucum.&nf;Acesso Fazenda Uruba. &nf;Interior de Floresta Estacional Decidual.",-19.0689,-57.3013,21/07/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
