record_no,standardized_names,scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,native_status,native_status_reason,native_status_sources,is_introduced,native_status_country,native_status_state_province,native_status_county_parish,country,state_province,county,locality,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_cultivated_observation,is_cultivated_in_region,is_location_cultivated,is_new_world,observation_type
34,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Serra do RabichÃ£o. Estrada de acesso Ã  Fda. CarandÃ¡.,-19.04524,-57.29878,10/02/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
35,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do RabichÃ£o, Planalto Residual do Urucum.&nf;Acesso pela Fazenda Uruba. &nf;Interior de Floresta Estacional Decidual.",-19.0537,-57.2882,07/12/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
36,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do Jacadigo, Planalto Residual do Urucum.",-19.233056,-57.849444,20/10/2004,GBIF,IPA,IPA,IPA,IPA,3347,0,0,NA,1,specimen
37,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Nuflo de Chavez,"Lomerio. A 12 km al Norte de la comunidad Las Trancas. Parcelas permanente del proyecto Bolfor, Las Trancas 95. Bosque seco chiquitano. Especies arbÃ³reas muy frecuentes Anadenanthera colubrina, Poeppigia procera, etc. Suelos laterÃ­ticos.",-16.52027,-61.84638,09/12/1994,MO,"MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,specimen
38,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Terras,-19.016667,-57.65,19/06/1991,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,1,0,NA,1,specimen
39,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Chiquitos,"Proyecto Corredor Santa Cruz-Puerto SuÃ¡rez. Laguna ConcepciÃ³n, transiciÃ³n chaqueÃ±o-chiquitano, vegetaciÃ³n alterada en las mÃ¡rgenes del camino y cerca de la laguna.",-17.5319445,-61.3744445,07/11/1999,MO,"MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,specimen
40,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,NA,"Quiapaca, 10 km N of Santiago, valley of RÃ­o Tucuvaca dry forest. Transects 7-8.",-18.3333333,-59.5,16/05/1991,MO,"MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,specimen
41,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra Tromba dos Macacos, Planalto Residual do Urucum. Acesso pela Fazenda VovÃ´ Osvaldo. Interior de Floresta Estacional Decidual. Solo ferruginoso.",-19.195278,-57.659722,25/11/2004,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
42,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Terras,-19.016667,-57.65,23/11/1987,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,1,0,NA,1,specimen
43,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Angel Sandoval,"Prov. German Busch, Estancia San Eugenio a 14 km W de la estancia Arco Iris. Bosque semideciduo. Sotobosque escaso, dosel de 18 a 20 m de altura. Suelo arcilloso.",-18.93583,-57.87333,28/10/1998,MO,USZ,USZ,USZ,NA,280,0,0,NA,1,specimen
44,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra SÃ£o Domingos, Planalto Residual do Urucum. Acesso pelo areÃ£o do Sr. Wilson. Interior de Floresta Estacional Decidual.",-19.15537,-57.37634,25/10/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
45,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra Tromba dos Macacos, Planalto Residual do Urucum. Acesso pela Fazenda VovÃ´ Osvaldo. Borda de Floresta Estacional Decidual.",-19.12753,-57.39768,29/07/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
46,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra Grande, Planalto Residual do Urucum. Interior de Floresta Estacional Semidecidual.",-19.12832,-57.30955,18/10/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
47,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Nuflo de Chavez,"Municipio de Cuatro CaÃ±adas: ubicado a 100 km de la ciudad de Santa Cruz.  La Empresa Desarrollos Agricolas S.A.-DESA, Propiedad San Rafael se encuentra distante a unos 35 km al sur de la carretera hacia el Dpto. de BenÃ­.  Campameento San Rafael, cortina 70.",-17.2626944,-62.2783889,11/03/2008,MO,"MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,specimen
48,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do RabichÃ£o, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual.",-19.05616,-57.29442,26/08/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
49,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,NA,NA,NÃºcleo das Provincia de Chavez. Lomerio. Acampamento Las Trancas. Parcelas permanentes de BOLFOR.,-16.596111,-61.866111,NA,GBIF,ComissÃ£o Executiva do Plano da Lavoura Cacaueira (CEPLAC),ComissÃ£o Executiva do Plano da Lavoura Cacaueira (CEPLAC),ComissÃ£o Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,0,0,NA,1,specimen
50,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,FortÃ­n Isla PoÃ­ - EstaciÃ³n Experimental Isla PoÃ­/Departamento de Presidente Hayes,-22.48333,-59.71667,26/02/1991,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
51,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Pantanal,-20.116667,-56.666667,07/05/1987,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
52,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",tropicos,0,N,NA,NA,Bolivia,Santa Cruz,NA,"The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the RÃ­o Grande to the east. AndrÃ©s IbÃ¡Ã±ez, 12.5 km. (by air) ENE of center of Santa Cruz, 3 km. N. of JardÃ­n BotÃ¡nico de Santa Cruz. Flat probably formerly grassland, now mostly pastures. Grassy and brushy roadside, soil very sandy.; Aeschynomene denticulata Rudd",-17.7375,-63.07777,23/12/1994,MO,"MO, NY","MO, NY","MO, NY",NA,280,0,0,NA,1,specimen
53,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Santo Tome,"35 km al SW de Santo TomÃ©, ruta nacional 40",-28.21,-56.23,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
54,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Lagoa Itatiaia.,-20.480028,-54.576806,25/05/2002,GBIF,FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),FundaÃ§Ã£o Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,0,0,NA,1,specimen
55,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Entre Rios,Gualeguaychu,GualeguaychÃº a Balneario El Ã‘andubaizal,-33,-58.81,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
56,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Salta,Rivadavia,"Ruta 81, Km 1721",-23.45,-62.79,NA,GBIF,CTES,CTES,CTES,HERB,3391,0,0,NA,1,specimen
57,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Capital,Riachuelo. Arrocera Argentina,-27.5,-58.77,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
58,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Salta,Oran,Abra Grande,-23.37,-64.22,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
59,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,"Estero PatiÃ±o (Sureste) - Estero PatiÃ±o, Km 164 de la ruta Trans Chaco/Departamento de Presidente Hayes",-24.05,-59.5,20/12/1987,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
60,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Formosa,Patino,"Ea. Canesin-Welsh, por ruta 95 a 7 km N del cruce de las rutas 95 y 81.",-24.84,-59.99,NA,GBIF,BAB,BAB,BAB,HERB,3614,0,0,NA,1,specimen
61,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Misiones,Capital,"Posadas, baÃ±ados del ParanÃ¡",-27.48,-55.92,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
62,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,NA,,-30,-56.189167,18/12/2011,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,0,0,NA,1,specimen
63,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,Puerto Militar - Borde de ruta Trans Chaco/Departamento de Presidente Hayes,-23.43333,-57.46667,09/12/1989,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
64,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",tropicos,0,N,NA,NA,Bolivia,Santa Cruz,Warnes,"3 km. NE of railroad crossing on E. side of Warnes, Quebrada El Jipa. Flat, brushy and marshy areas and pasture, with Scheelea princeps around drainage channels, surrounded mostly by sugar cane fields.",-17.48333,-63.13333,01/01/1994,MO,"MO, NY","MO, NY","MO, NY",NA,280,0,0,NA,1,specimen
65,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,San Martin,"Arrocera Drews, Ruta 14, 11 km N de C. Pellegrini",-28.76,-56.95,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
66,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Tucuman,Monteros,VÃ­a del FC.,-27.11,-65.63,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
67,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Bella Vista,"Ruta 117, 7 km E de Ruta 27",-28.46,-58.93,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
68,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Santo Tome,Galarza. Ruta 41.,-28.21,-56.23,NA,GBIF,CTES,CTES,CTES,CTES-VASC,3391,0,0,NA,1,specimen
69,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Misiones,Capital,"Posadas, baÃ±ados del ParanÃ¡",-27.48,-55.92,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
70,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Tucuman,Famailla,San RamÃ³n - Bella Vista.,-26.95,-65.48,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
71,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Bahia,NA,1,-9.7725,-41.357222,27/09/2014,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),HTSA,2018,0,0,NA,1,specimen
72,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Misiones,Apostoles,"Porto Azara, arroio Chimiray",-27.9125,-55.754444,22/02/1989,SpeciesLink,PUCRS,PUCRS,PUCRS,MPUC,681,0,0,NA,1,specimen
73,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Santa Catarina,NA,"BR-101 Km 349; 28Â°34'23 1\S 49Â°03'10 1\""W""",-28.573056,-49.052778,24/02/2011,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,0,0,NA,1,specimen
74,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Pernambuco,NA,"Estrada entre Surubim e Bom Jardim, ca. 15 Km de Surubim. Afloramento rochsoso.",-7.85,-35.666667,21/07/2002,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,0,0,NA,1,specimen
75,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Santa Fe,San Cristobal,,-30.23,-61.4,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
76,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Itati,"Ruta 12, 47 Km E de ItatÃ­ (Ea. Santa Catalina)",-27.31,-58.07,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
77,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,NA,"PerechÃ³n, 4 Km da ruta 12. Quebrachal degradada.",-27.683333,-58.129444,31/01/2007,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,0,0,NA,1,specimen
78,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Formosa,Patino,Cruce entre las rutas 81 y 95.,-24.84,-59.99,NA,GBIF,BAB,BAB,BAB,HERB,3614,0,0,NA,1,specimen
79,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Formosa,Patino,"6 km de San Carlos por ruta Gral. Belgrano-San Carlos, en direcc. S.",-24.84,-59.99,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
80,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,N,NA,Argentina,Corrientes,Beron de Astrada,"46 km Oeste de ItÃ¡ IbatÃ©, Valencia",-27.45,-57.62,NA,GBIF,SI,SI,SI,HERB,3669,0,0,NA,1,specimen
81,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,UNK,"Status unknown, no checklists for region of observation",NA,NA,NA,NA,NA,Australia,Queensland,NA,"Glasshouse grown, James Cook University, Townsville.",-19.3272,146.7608,11/07/1995,GBIF,JCT,JCT,JCT,JCT,3258,0,0,NA,0,specimen
82,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,"Chaco-Ã­ (AsunciÃ³n) - ChacoÃ­, 25Â°12'S 57Â°38'W/Departamento de Presidente Hayes",-25.25,-57.61667,05/12/1989,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
83,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Rio Grande do Sul,NA,"Ao longo de estrada de terra que margeia, ao norte, a rodovia BR-287.",-29.683333,-52.70389,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,0,0,NA,1,specimen
84,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist",conosur,0,N,NA,NA,Paraguay,NA,NA,"Ruta Transchaco, km 250 - Ruta Trans Chaco, Km 245/Departamento de Presidente Hayes",-23.63333,-58.7,18/12/1987,GBIF,G,G,G,Geneva Herbarium â€“ General Collection (G),3547,0,0,NA,1,specimen
85,Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,Aeschynomene denticulata Rudd,Fabaceae,Aeschynomene denticulata,Rudd,flowering plants,Accepted,Fabaceae,Rudd,N,"Native to region, as per checklist","flbr, conosur",0,N,N,NA,Brazil,Bahia,NA,Chico Periquito,-9.753056,-41.356944,27/09/2014,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,0,0,NA,1,specimen
